null|Holy Spirit Public School|Payyanithottam, Poonjar South P.O.|N/A|KL|686582|null|Sr. Christeena|04822271301|Principal|holyspiritpublicschool@gmail.com|Asia/Kolkata|IN
null|Holy Spirit School|Holy Spirit School Poonkulam,Vellayani P.O|N/A|KL|695522|null|Sr.Annamma N.M (Sr. Annie)|0471-2482928 0471-2481422|Principal|hssp1@hotmail.com|Asia/Kolkata|IN
null|Holy Trinity School|Kproad Kayamkulam Po Alappuzha Kerala|N/A|KL|690502|null|P P Akhileswari|0479 444456|Principal|carmelgiri2004@rediffmail.com|Asia/Kolkata|IN
null|Holy Trinity School|Kanjikode West Palghat Kerala|N/A|KL|678623|null|Mrs. Vyja S.Kumar|0491 2566255|Principal|kattayan77@rediff.com|Asia/Kolkata|IN
null|Holy Trinity Vidya Bhavan|Karthigappally P.O. Dist. Alapuzha Kerala|N/A|KL|690516|null|Letha B Nair|0479 415974|Principal|holytrinityschool59@rediffmail.com|Asia/Kolkata|IN
null|Holyfamily English Medium School|Holyfamily English Medium School, Pachalloor, Trivandrum-27|N/A|KL|695027|null|Thankamma.I.Kochery|0471-2384932|Principal|holyfamilyeng@gmail.com|Asia/Kolkata|IN
null|I E S Public School|P.O.Chittilapally Trichur Dist. Kerala|N/A|KL|680551|null|Mr. V J Joseph|0487 2305704|Principal|iespublicschool@gmail.com|Asia/Kolkata|IN
null|I G M Public School|St. Benediet Road Cochin Kerala|N/A|KL|682018|null|Mr. Mrs Chinnu Asokan|0484 2538663|Principal|igmschool@hotmail.com|Asia/Kolkata|IN
null|I P C English School|Po Meladi Kozhikode Kerala|N/A|KL|673582|null|Abdul Rashid K|0496 2601157|Principal|sr.stellat@yahoo.in|Asia/Kolkata|IN
null|I. G. English School|Karukapuphur|N/A|KL|679537|null|Ms. Sheena T.K.|08515 259026|Principal|ppsikpeta@gmail.com|Asia/Kolkata|IN
null|I.S.S.(English Medium) Sr Sec School|Perinthalmanna P O Ponniakursi Distt Malapuram Kerala|N/A|KL|679322|null|Mr. Mumtaj.P.Kasim|04933 226146|Principal|issprincipal@gmail.com|Asia/Kolkata|IN
null|Ideal English School|Kadakassery, Ayankalam (Po), Malappuram (Dist), Kerala-679594|N/A|KL|679594|null|Shamsudheen Kunnambath|04942688575|Principal|mail@idealeducation.org|Asia/Kolkata|IN
null|Ideal Pub School|Kuttiadi Distt Kozhikode Kerala|N/A|KL|673508|null|K Moossa|0496 597039|Principal|principal@marygiri.org|Asia/Kolkata|IN
null|Ideal Public School|Kadalundi Nagaram Po Malappuram Distt Kerala|N/A|KL|673314|null|Payattanal Babu P M|0494 2471170|Principal|nbcsvalakkandy@yahoo.com|Asia/Kolkata|IN
null|Ideal Public School|Thaikkattukara P.O. Aluva Ernakulam Kerala|N/A|KL|683106|null|Mrs. Ruby Cyriac|0484 2629462|Principal|ipsaluva@sify.com|Asia/Kolkata|IN
null|Ilahia Public School|Market Po Muvattu Puzha Kerala|N/A|KL|686673|null|Jameela P N|0485 831606|Principal|ilahiapublicschool@rediffmail.com|Asia/Kolkata|IN
null|Immanuel Mar Thoma Central School|Eraviperor Po Thiruvalla Pathanamithitta Kerala|N/A|KL|689542|null|Mrs Sally Jacob|0469 2665637|Principal|marinasharma@yandex.ru|Asia/Kolkata|IN
null|Indira Gandhi Public School|Mambaram Kannur Distt Thalassery Kerala|N/A|KL|670741|null|Dr C Vasu|0490 2383536|Principal|principal@starexinternational.com|Asia/Kolkata|IN
null|Infant Jesus English Medium School|Kenichira Po Wayanad Distt Kerala|N/A|KL|673596|null|Anees E L|04936 211813|Principal|principal@viswadeepthi.com|Asia/Kolkata|IN
null|Infant Jesus Public School|Alangad Alwaye Ernakulam Kerala|N/A|KL|683511|null|Sr Cicily P L|0484 670267|Principal|mangalam@giasmd01.vsnl.net.in|Asia/Kolkata|IN
null|Infant Jesus Public School|Kidangoor P.O.|N/A|KL|686572|null|Sr. Aleykutty P.J.|04822257788|Principal|thomasforu@sify.com|Asia/Kolkata|IN
null|Infant Jesus Residential School|Kattappana P O P B No 20 Idukki Kerala|N/A|KL|685508|null|Mr. Jojo Abraham|04868 272808|Principal|infantjesuskattappana@yahoo.com|Asia/Kolkata|IN
null|International Indian School Kallikkandy|Kallikkandy P.O Kannur Dist|N/A|KL|670693|null|Mrs.Ance Mol K J|0490-2465794|Principal|internationalindianschool@gmail.com|Asia/Kolkata|IN
null|International Public School ,Karickam|Karickam.P.O|N/A|KL|691531|null|Jacob John .K|0474-2066662|Principal|karickam@gmail.com|Asia/Kolkata|IN
null|Irshad English School|Panthavoor P O Alankode Malappuram Kerala|N/A|KL|679585|null|Viajayakumar K|0494 651170|Principal|irshadenglish@hotmail.com|Asia/Kolkata|IN
null|Isha Ath Public School|Poonoor Unnikulam Po Distt Kozhikode Kerala|N/A|KL|673574|null|Abdul Nisar P|0495 224009|Principal|kuldeep_srathore@yahoo.co.in|Asia/Kolkata|IN
null|Ishlahi English Med School|Irikkur Kannur Distt Kerala|N/A|KL|670593|null|K K Balakrishnan|0498 258621|Principal|takshasila@suprabhat.ac.in|Asia/Kolkata|IN
null|Islahiya Orphanage School|Kumaranellur P.O. Angadi Palakkad Distt Kerala|N/A|KL|679552|null|Mr. Mohamedunni K|0466 22775722276025|Principal|islahiya@rediffmail.com|Asia/Kolkata|IN
null|Islamic Central School|Ottapalam Palakkad Kerala|N/A|KL|679102|null|Mr. Sankaranarayanan M|0466 2245641|Principal|icsotp@yahoo.com|Asia/Kolkata|IN
null|Jai Matha Public School|Sahayagiri Po Marayoor Idukki Distt Kerala|N/A|KL|685620|null|Smt Rachna Sachdeva|04865 252486|Principal|s_babbar@hotmail.com|Asia/Kolkata|IN
null|Jai Rani Public School|Kaliyar P.O.|N/A|KL|685582|null|Sr. Bobby Thomas|04862246888|Principal|thomasforu@sify.com|Asia/Kolkata|IN
null|Jai Rani Sabs Public Scool|Jai Rani Sabs Public School; Balussery (Po)|N/A|KL|673612|null|Sr. Philomina Thomas|04962643531|Principal|jayasabs@yahoo.com|Asia/Kolkata|IN
null|Jaimatha English Medium School|Uliyathadka Siribagilu Po Kasaragod Kerala|N/A|KL|671124|null|Sr Theresitta|0499 440470|Principal|takshasila@suprabhat.ac.in|Asia/Kolkata|IN
null|Jama-Ath Residential Public School|Padamugal Kakkanad Thrikkakara P.O Cochin Kerala|N/A|KL|682021|null|Mrs. Leela Narayanan|0484 2422430|Principal|info@jamaathschool.com|Asia/Kolkata|IN
null|Jamia Hassania Public School|South Vazhakulam Alwaye Ernakulam Dist. Kerala|N/A|KL|683105|null|T D Pavianose|0484 677367|Principal|ihsgroup@vsnl.com|Asia/Kolkata|IN
null|Jamia Salafiya English School|Salafi Gramam Pulikkal P.O Malappuram Dist Kerala|N/A|KL|673637|null|Mr. C Saidalavi|0483 2790468|Principal|jamiasalafiya@yahoo.com|Asia/Kolkata|IN
null|Janasakthi Public School|Velanchira Pattolimarket Po Alapuzha Distt Kerala|N/A|KL|690531|null|Sh Sanjeev R|0479 2432959|Principal|holyangelscmm@hotmail.com|Asia/Kolkata|IN
null|Jawahar Central School|Kanjiramkulam Thiruvananthapuram Kerala|N/A|KL|695524|null|D Sathya Das|0471 2260483|Principal|ilahiapublicschool@rediffmail.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Neriamangalam Post Ernakulam Dist Kerala|N/A|KL|686693|null|V S Joseph|0485 554246|Principal|kvsureshjnvi@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Chendayad P.O Kannur Dist. Kerala|N/A|KL|670692|null|Ms R Nair|0490 311380|Principal|kvsureshjnvi@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Navodaya Nagar Periye Post Kasaragod Kerala|N/A|KL|671316|null|V L Balasubramanian|0499 794057|Principal|kvsureshjnvi@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Vadavathoor P.O Kottayam Dist. Kerala|N/A|KL|686010|null|U Velu|0481 2578402|Principal|kvsureshjnvi@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Kottarakara Dist.Kollam E T C Campus & P O Kerala|N/A|KL|691531|null|Joseph Mundayankal|0474 454846|Principal|mgmrps@md2.vsnl.net.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Kulamavu Post Idukki Distt. Kerala|N/A|KL|685601|null|George Joseph|04862 59916|Principal|kvsureshjnvi@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Vechoochira Mannadisala Post Pathanamthitta Distt. Kerala|N/A|KL|686511|null|Mr. C.Ramakrishnan|04735 265246|Principal|jnvpathanamthitta@yahoo.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Mayannur Trichur Distt. Kerala|N/A|KL|679105|null|B Venkateswaran|0488 486260|Principal|trichur@x400.nicgw.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Malampuzha P.O Palghat Distt. Kerala|N/A|KL|678651|null|A D George|0491 815157|Principal|trichur@x400.nicgw.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Malappuram O.K.Muri P.O Oorakam Kerala|N/A|KL|676515|null|G Arumugam|0494 450350|Principal|trichur@x400.nicgw.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Chennithala P.O Alappuzha Dist Kerala|N/A|KL|690105|null|Eapen Luke|0479 303971|Principal|anilkumarvr@vsnl.com|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Chettachal Po Vithura Thiruvanthapuram Kerala|N/A|KL|695551|null|Mr. Rathnakaran K.O.|0472 2859664|Principal|jnvtrivandrum@yahoo.co.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Palayad Nada Post Badagara Calicut Distt. Kerala|N/A|KL|673530|null|Mr. P.K.Narayanan|0496 2536286|Principal|yennair@gmail.com|Asia/Kolkata|IN
null|Jeevan Jyothi Public School|Thalikod Pattikkad Po Thrissur Distt Kerala|N/A|KL|680653|null|Sr Kamola|0487 2282952|Principal|principal_st_johns@yahoo.co.in|Asia/Kolkata|IN
null|Jyothi Nikethan English Medium School|P.B No. 4 Thiruvampady P.O|N/A|KL|688002|null|Ruby Sen Kallupura|04772269232|Principal|kallupura@hotmail.com|Asia/Kolkata|IN
null|Jyothi Nivas Public School|U C College Po Alwaye Aluva|N/A|KL|683102|null|Sr. Geetha Mary K M|0484 609468|Principal|jyothinivas@sancharnet.in|Asia/Kolkata|IN
null|Jyothi Public School|Erumathala P.O, Nalamile, Aluva|N/A|KL|683112|null|Mr.Jogin Antony P|04842839305|Principal|jyothipublicschool@gmail.com|Asia/Kolkata|IN
null|Jyothis Central School|Kazhakuttom P.O|N/A|KL|695582|null|Ms Jayasree|0385 2415751|Principal|megamanipurschool@rediffmail.com|Asia/Kolkata|IN
null|Jyoti Nilayam Secondary School|St.Andrews, St.Xavier,S College P.O, Thiruvananthapuram|N/A|KL|695586|null|Sr. Greeta Thattil|0471/2704296|Principal|jyotinilayam@yahoo.com|Asia/Kolkata|IN
null|K E Carmel Central School|Muhamma Po Alappuzha Kerala|N/A|KL|688525|null|Mr. Fr.Dr.Mathew Thengumpally|0478 2864430|Principal|keccss@yahoo.com|Asia/Kolkata|IN
null|K E T Public School|Kuttiady P O Kuttiady Kozhikode Kerala|N/A|KL|673508|null|Mr. Kunhammed Kutty.M|0496 2597425|Principal|mkyktdy@gmail.com|Asia/Kolkata|IN
null|K M M English School & Jr College|Perumbadappa Post Malappuram Distt. Kerala|N/A|KL|679580|null|A K Hydrose|0494 670628|Principal|kmmesjc@md3.vsnl.net.in|Asia/Kolkata|IN
null|K N Sathyapalan Memorial Sree Narayana Central School|Kadaikkodu (Po), Ezhukone, Kottarakara|N/A|KL|691505|null|P Jayarani|06275 04742075160|Principal|kns.4.edu@gmail.com|Asia/Kolkata|IN
null|K P M Model School|Dhavalakuzhi Mayannad Kollam Kerala|N/A|KL|691303|null|Latha L|0474 2555268|Principal|kalpmed@vsnl.com|Asia/Kolkata|IN
null|K S Abdullah Eng Med School|Chettumkuzhi P B No.10 Vidya Nagar Po Kasaragod Distt Kerala|N/A|KL|671123|null|Prof Ahmed Hussain|0499 423876|Principal|harkrishan_school@yahoo.com|Asia/Kolkata|IN
null|Kadambur English Med School|Kadambur Po Etakkad Kannur Distt Kerala|N/A|KL|670663|null|Sh K Pushpavally|0497 2833639|Principal|npsnpr2007@yahoo.co.in|Asia/Kolkata|IN
null|Kallivayalil Pappan Memorial Public|School Mundkayam East Idukki Distt Kerala|N/A|KL|686513|null|Thomas P Joseph|04869 280426|Principal|holyangelscmm@hotmail.com|Asia/Kolkata|IN
null|Kamb&M School Of Life International|Ayilakkad P.O,Edappal,Malappuram District,Kerala State,Pin 679576|N/A|KL|679576|null|Dr.P.K Noushad|04943222282|Principal|drpknoushadmba@gmail.com|Asia/Kolkata|IN
null|Kaoser Eng School|Pulloopy Village Puzhathi Kannur Kerala|N/A|KL|670002|null|Mr Ayoob K|0497 711152|Principal|holyangelscmm@hotmail.com|Asia/Kolkata|IN
null|Kasturba Public School|Chirakkal Post Cannanore Kerala|N/A|KL|670011|null|Sadrudin S V|0497 779272|Principal|kasturba_school@rediffmail.com|Asia/Kolkata|IN
null|Kavilasanadha Vidyaniketan|Mallakkara Mannuthy Po Trichur Kerala|N/A|KL|680651|null|Mrs Sobhana E K|0487 2321236|Principal|bvreddyschool@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Pattom Trivandrum Kerala|N/A|KL|695004|null|Alice Thomas(V/P)|0471 445854|Principal|telenet@techpark.net|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Puranattukara Trichur Dist. Kerala|N/A|KL|680551|null|M Radhakrishnan|0487 711701|Principal|dgmtcr@md3.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Thirumullavaram P.O., West Kollam, Kollam, Kerala|N/A|KL|691012|null|P V Rajalakshmy|0474 2799494|Principal|kv2school@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Idukki, Painavu P.O., Distt. Idukki, Kerala - 685603|N/A|KL|685603|null|Mrs Sherly K C|04862 232205|Principal|jangid@cswri.raj.nic.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Sap Camp, Peroorkada, Trivendrum, Kerala|N/A|KL|695005|null|G. Natarajan|0471 2439697|Principal|arvindkumarsre@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Kadavanthra (Po) Ernakulam Cochin Cochin Kerala|N/A|KL|682020|null|C Kuriakose Varkey|0484 313785|Principal|kvernakulam@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Pangode Tirumala (Po) Trivandrum Kerala|N/A|KL|695006|null|N Jeganathan|0471 341784|Principal|kv_pangode@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|District Hospital Post Burnachery Kannur Kerala|N/A|KL|670017|null|Velayudhan K P|0497 707580|Principal|cnn_kvkannur@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|I N S Dronacharya Mahavir Enclave, Mundamveli Cochin Kochi Kerala|N/A|KL|682507|null|Mrs.P.S.Geothi|0484 227104|Principal|pantrir3@md4.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Afs Akkulam Trivandrum Kerala|N/A|KL|695031|null|Valsamma Varghese|080 441266|Principal|nair_sa@hotmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|N T P C Kayamkulam Cheppad Po Kerala|N/A|KL|690507|null|Mr Ajaya Babu M|080 413920|Principal|nair_sa@hotmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|N A D Kalamassery (Po) Aluva Ernakulam Dist. Kerala|N/A|KL|683505|null|A G K Menon|0484 532860|Principal|jenilco@satyam.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Up Hill P.O Malappuram Kerala|N/A|KL|676505|null|N V Nambudiripad|0493 734963|Principal|kvmalappuram@yahoo.co.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Kanjikode Palakkad Kerala|N/A|KL|678623|null|Mrs. N Soudamini|0491 566317|Principal|principal@ilpgt.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Ottapalam Palakkad Dist Kerala|N/A|KL|679103|null|K P Rabindran|0492 644388|Principal|kvotp@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Keltron Nagar Kannur University Campus Kannur Dist Kerala|N/A|KL|670567|null|Mr. Shri N.Suresh Babu|0497 2780155|Principal|kv_keltronnagar@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Payyanur P.O Kannur Dist. Kerala|N/A|KL|670307|null|Bhaskaran P|0498 503063|Principal|chinbala@md3.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Rubber Board P.O Kottayam Kerala|N/A|KL|686009|null|K.Bhanumoorthy|0481 570707|Principal|kvrbktm@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Adoor Pathanamthitta Dist. Kerala|N/A|KL|691523|null|Jose Mathew|0473 424808|Principal|advidya@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya|Ins Zamorin, P.O. Ezhimala, Distt. Kannur, Kerala|N/A|KL|670310|null|Mrs. Anu Thomas|04985 230900|Principal|pkvno2i@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 2|Vidya Nagar (Po) Kasargod Kerala|N/A|KL|671123|null|Mr. P. Sakthivel|04994 256788|Principal|kv2principalksd@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No 3|Port Trust Willingdon Island Kochi Kerala|N/A|KL|682003|null|Mrs. Radha G Krishnan|0484 2667102|Principal|kvporttrust@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Cpcri Kudlu Post Kasaragod Kerala|N/A|KL|671124|null|Mrs. M. Aishath Suhara|0499 430787|Principal|cpcri@x400.nicgw.nic.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Hemambika Nagar Palakkad Kerala Kerala|N/A|KL|678009|null|C N Rahulan|0491 555316|Principal|hemkenp@sancharnet.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|Naval Base Kataribagh Cochin Kerala|N/A|KL|682004|null|Mrs. Lalitha Ramachandran|0484 2668472|Principal|kv1kochi@rediffmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.1|East Hill,(West Hill Post) Kozhikode Calicut Kerala|N/A|KL|673005|null|Mr. Maya George|0495 2382299|Principal|kvcalicutone@gmail.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Naval Base Kochi Kerala|N/A|KL|682004|null|V.M. Cherian|0484 668344|Principal|palicha@giasmd01.vsnl.net.in|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Govindapuram Calicut Kozhikode Kerala|N/A|KL|673016|null|Mr. Lalitha Ramachandran|0495 2744200|Principal|kv2govclt@sify.com|Asia/Kolkata|IN
null|Khadeeja English School|Manjeri Distt Malappuram Kerala|N/A|KL|676122|null|Basheer Alipparamban|0493 763872|Principal|adhyapanaschool@gmail.com|Asia/Kolkata|IN
null|Koppam English Medium School|Karinganad Vilayur P.O Palakkad Distt Kerala|N/A|KL|679309|null|Mr. P.Gopinathan|0466 2262035|Principal|kems_koppam@yahoo.com|Asia/Kolkata|IN
null|Kottakkal Vidya Bhavan English Medium School|Kottakkal Vidya Bhavan English Medium School Ambara, Kutipuram, Kottakkal P.O, Malappuram, Kerala|N/A|KL|676503|null|Sasikumar K.V|0473 04832860600|Principal|kottakkalvidyabhavan@gmail.com|Asia/Kolkata|IN
null|Kottappuram Central School,(Kcs) Kottappuram|Kottappuram (Po), Srikrishnapuram (Via) Palakkad|N/A|KL|679518|null|T.T.Prasannakumari|0475 (0466)2266291|Principal|pvbrajan@yahoo.co.in|Asia/Kolkata|IN
null|Kristu Raja Public School|Kristu Raja Public School,Vellaramkunnu,Puzhamudip.O.,Kalpetta,Wayanad|N/A|KL|673121|null|Misssr.Stein.C.T.C|04936-205566|Principal|kristurajapublicschool@gmail.com|Asia/Kolkata|IN
null|Ktcs Nect Public School|Cheruvattoor P.O.,Kothamangalam,Ernakulam District, Kerala|N/A|KL|686691|null|Mrs.Geetha Nair|04852549435|Principal|ktcinstitutions@gmail.com|Asia/Kolkata|IN
null|Kuthubiyya English Medium School|Puthoor, Panoor P.O, Kannur|N/A|KL|670692|null|M.T Sulaikha|04902315624 2316440|Principal|netlinks2@rediffmail.com|Asia/Kolkata|IN
null|Labour India Public School|Marangattupilly P.O. Kottayam District Kerala|N/A|KL|686635|null|K C Joseph|0482 251366|Principal|labourindia@vsnl.com|Asia/Kolkata|IN
null|Lake Ford School|Lake Ford School Kollam|N/A|KL|691003|null|Shyamala Kumari.B|04742799777|Principal|lakefordschoolkollam@yahoo.com|Asia/Kolkata|IN
null|Lake Mount Pub School|Chempu Po Kottayam Kerala|N/A|KL|686615|null|Shri N J Nair|0482 673554|Principal|bvreddyschool@yahoo.co.in|Asia/Kolkata|IN
null|Lakshmi Narayana Vidhya Nikethan|Palappuram Ottappalam Distt Palakkad Kerala|N/A|KL|679103|null|Ms K S Sheela|0466 2230270|Principal|id-inca@sanchernet.in|Asia/Kolkata|IN
null|Le Mer Public School, Triprayar|Le Mer Public School,Triprayar P.O.Nattika Thrissur|N/A|KL|680566|null|Dr. K.K Mohanan|0487-2399979|Principal|le_mer05@yahoo.com|Asia/Kolkata|IN
null|Leo English Medium Public School|Smt. & Sri. Theo Joseph Memorial, C.P. 1/497A, Leo School Road, South Chellanam, Cochin|N/A|KL|682008|null|Mr.Robert K. Joseph|04842245105|Principal|mail.lemps@gmail.com|Asia/Kolkata|IN
null|Leo Public School|Sasthamkotta P.O.|N/A|KL|690521|null|Bindu Ravikumar|04762835005|Principal|thomasforu@sify.com|Asia/Kolkata|IN
null|Leo Xiii English Medium School|Alappuzha H.P.O Alappuzha|N/A|KL|688001|null|Mejo Thomas|(0477)2246232|Principal|frpiusmohan@gmail.com|Asia/Kolkata|IN
null|Lisieux English School|Vaikom Kottayam Distt Kottayam Dist.|N/A|KL|686141|null|Mr. Prof.V.J.Alexander|04829 225536|Principal|arickal@dataone.in|Asia/Kolkata|IN
null|Little Flower English Med School|Karuvanchal Po Kannur Kerala|N/A|KL|670571|null|Mr. Sr. Mini Mol Sebastian|0460 2245075|Principal|littleflower_ss@yahoo.com|Asia/Kolkata|IN
null|Little Flower English Medium School|Karuvara Kundu Malappuram Kerala|N/A|KL|676523|null|Miss Miss Sr. Alex D.M|04931 280788|Principal|littleflowerkvk@gmail.com|Asia/Kolkata|IN
null|Little Flower English Medium School|Chelavoor, Calicut, Pin|N/A|KL|N/A|null|Mrs.Jessy Mathew|04952730196|Principal|littleflowerchelavoor@yahoo.com|Asia/Kolkata|IN
null|Little Flower Pub School|Muringoor Koratty Distt Thrissur Kerala|N/A|KL|680308|null|Mr. Anitha P Augustine|0480 2703360|Principal|info@litleflowerschoolmuringoor.org|Asia/Kolkata|IN
null|Little Flower Public School|Kollamula Mukkoottuthara Post Pathanamthitta Distt. Kerala|N/A|KL|686510|null|Mr. Fr.Siby Mathew|04735 264388|Principal|sibyemcb@sify.com|Asia/Kolkata|IN
null|Little Flower Vidya Niketan|Mundathanam Po Kangazha Distt Kottayam Kerala|N/A|KL|686541|null|Mr. Sr.Ancy Mathew|0481 2495801|Principal|lfvn2008@gmail.com|Asia/Kolkata|IN
null|Little India Public School|Thadaparamba Po Mongam Malappuram Distt Kerala|N/A|KL|673842|null|Aboobacker T K|0493 2773835|Principal|rsaxena26m@yahoo.com|Asia/Kolkata|IN
null|Little Lilli English Medium School|Koipady Village Kumbla Kasargad|N/A|KL|671321|null|P J Johnson|0499 815030|Principal|harish.edu89@rediffmail.com|Asia/Kolkata|IN
null|Lord Krishna Residential Public School|Paniyil, Chathannoor(Po),Kollam,Kerala|N/A|KL|691572|null|Mrs.Manju Jacob|04742001660|Principal|keskollam@yahoo.co.in|Asia/Kolkata|IN
